Country/Region,2020/1/1,2020/1/2,2020/1/3,2020/1/4,2020/1/5,2020/1/6,2020/1/7,2020/1/8,2020/1/9,2020/1/10,2020/1/11,2020/1/12,2020/1/13,2020/1/14,2020/1/15,2020/1/16,2020/1/17,2020/1/18,2020/1/19,2020/1/20,2020/1/21,2020/1/22,2020/1/23,2020/1/24,2020/1/25,2020/1/26,2020/1/27,2020/1/28,2020/1/29,2020/1/30,2020/1/31,2020/2/1,2020/2/2,2020/2/3,2020/2/4,2020/2/5,2020/2/6,2020/2/7,2020/2/8,2020/2/9,2020/2/10,2020/2/11,2020/2/12,2020/2/13,2020/2/14,2020/2/15,2020/2/16,2020/2/17,2020/2/18,2020/2/19,2020/2/20,2020/2/21,2020/2/22,2020/2/23,2020/2/24,2020/2/25,2020/2/26,2020/2/27,2020/2/28,2020/2/29,2020/3/1,2020/3/2,2020/3/3,2020/3/4,2020/3/5,2020/3/6,2020/3/7,2020/3/8,2020/3/9,2020/3/10,2020/3/11,2020/3/12,2020/3/13,2020/3/14,2020/3/15,2020/3/16,2020/3/17,2020/3/18,2020/3/19,2020/3/20,2020/3/21,2020/3/22,2020/3/23,2020/3/24,2020/3/25,2020/3/26,2020/3/27,2020/3/28,2020/3/29,2020/3/30,2020/3/31,2020/4/1,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30,2020/5/1,2020/5/2,2020/5/3,2020/5/4,2020/5/5,2020/5/6,2020/5/7,2020/5/8,2020/5/9,2020/5/10,2020/5/11,2020/5/12,2020/5/13,2020/5/14,2020/5/15,2020/5/16,2020/5/17,2020/5/18,2020/5/19,2020/5/20,2020/5/21,2020/5/22,2020/5/23,2020/5/24,2020/5/25
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Require cancelling public events,Screening,,,,,,,,,,,,Require closing school of all levels,,,,,,,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)","require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,Require closing public transport(or prohibit most citizens from using it),,,,,,,,Restrictions on gatherings of less than 10 people,,,,,,,Restrict movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Screening,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,coordinated public information campaign (e.g. across traditional and social media),Quarantine arrivals from high-risk regions,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,Restrictions on gatherings between 100-1000 people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restrictions on gatherings of less than 10 people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,,,,Require cancelling public events,,Require closing school of all levels,,Ban on high-risk regions,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recommend not leaving house,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,Require closing school of all levels,,,,,,,,,Recommend closing public transport(or significantly reduce volumeroutemeans of transport available),,,,,,,,,,,,,,Ban on high-risk regions,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,,,,,,,,Quarantine arrivals from high-risk regions,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarantine arrivals from high-risk regions,,,,,,,,,,,,,,,,,,,,,,,,Ban on high-risk regions,,,,,,,,,,,,,,,,,,,Total border closure,,,,Require closing school of all levels,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,,Restrictions on gatherings between 10-100 people,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Require cancelling public events,,,,,Require closing school of all levels,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",Restrict movement,,,Require closing public transport(or prohibit most citizens from using it),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,Restrict movement,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban on high-risk regions,Require closing school of all levels,,coordinated public information campaign (e.g. across traditional and social media),,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,"Require not leaving house with minimal exceptions (e.g. allowed to leave only once every few days, or only one person can leave at a time, etc.)","require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips","Require not leaving house with minimal exceptions (e.g. allowed to leave only once every few days, or only one person can leave at a time, etc.)",,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,Total border closure,,Ban on high-risk regions,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,,,,,,,,
